response_id,assessment_id,user_id,question_identifier,response_text,response_numeric,response_boolean,response_json,created_at
33,29,1,roles.selectedDepartments,,,,"[""Support""]",2025-05-08 10:07:41.977387
34,29,1,roles.selectedRoles,,,,"[{""id"": 6, ""title"": ""Customer Support (CS)"", ""department"": ""Support""}]",2025-05-08 10:07:41.977387
35,29,1,painPoints.roleSpecificPainPoints,,,,"{""6"": {""impact"": 2, ""severity"": 3, ""frequency"": 3, ""description"": ""Testing""}}",2025-05-08 10:07:53.483476
36,29,1,painPoints.generalPainPoints,"",,,,2025-05-08 10:07:53.483476
37,29,1,workVolume.roleWorkVolume,,,,"{""6"": {""volume"": ""medium"", ""complexity"": ""medium"", ""repetitiveness"": 4}}",2025-05-08 10:08:08.066739
38,29,1,techStack.dataAccessibility,moderate,,,,2025-05-08 10:08:32.939022
39,29,1,techStack.systemsIntegration,easy,,,,2025-05-08 10:08:32.939022
40,29,1,techStack.dataQuality,fair,,,,2025-05-08 10:08:32.939022
41,29,1,techStack.relevantTools,"Salesforce Service Cloud, Glean, Confluence",,,,2025-05-08 10:08:32.939022
42,29,1,adoption.changeReadiness,medium,,,,2025-05-08 10:09:06.024585
43,29,1,adoption.stakeholderAlignment,medium,,,,2025-05-08 10:09:06.024585
44,29,1,adoption.trainingNeeds,Group training valuable,,,,2025-05-08 10:09:06.024585
45,29,1,adoption.expectedChallenges,Need to work on budget ROI,,,,2025-05-08 10:09:06.024585
46,29,1,adoption.successMetrics,CSAT scores,,,,2025-05-08 10:09:06.024585
47,29,1,basics.companyName,Sammy's slice of heaven,,,,2025-05-08 10:10:12.263983
48,29,1,basics.reportName,Customer Support Revamp,,,,2025-05-08 10:10:12.263983
49,29,1,basics.industry,Software & Technology,,,,2025-05-08 10:10:12.263983
50,29,1,basics.size,Medium (51-500 employees),,,,2025-05-08 10:10:12.263983
51,29,1,basics.goals,Improve CSAT Scores,,,,2025-05-08 10:10:12.263983
52,29,1,basics.stakeholders,,,,"[""Executive Leadership"", ""Sales & Marketing""]",2025-05-08 10:10:12.263983
53,29,1,roles.selectedRoles,,,,"[{""id"": 6, ""title"": ""Customer Support (CS)"", ""department"": ""Support""}]",2025-05-08 10:10:15.187125
54,29,1,roles.selectedDepartments,,,,"[""Support""]",2025-05-08 10:10:15.187125
55,29,1,painPoints.generalPainPoints,"",,,,2025-05-08 10:10:16.08233
56,29,1,painPoints.roleSpecificPainPoints,,,,"{""6"": {""impact"": 2, ""severity"": 3, ""frequency"": 3, ""description"": ""Testing""}}",2025-05-08 10:10:16.08233
57,29,1,workVolume.roleWorkVolume,,,,"{""6"": {""volume"": ""medium"", ""complexity"": ""medium"", ""repetitiveness"": 4}}",2025-05-08 10:10:17.41346
58,29,1,techStack.dataQuality,fair,,,,2025-05-08 10:10:18.67579
59,29,1,techStack.relevantTools,"Salesforce Service Cloud, Glean, Confluence",,,,2025-05-08 10:10:18.67579
60,29,1,techStack.dataAccessibility,moderate,,,,2025-05-08 10:10:18.67579
61,29,1,techStack.systemsIntegration,easy,,,,2025-05-08 10:10:18.67579
62,29,1,adoption.trainingNeeds,Group training valuable,,,,2025-05-08 10:10:19.6612
63,29,1,adoption.successMetrics,CSAT scores,,,,2025-05-08 10:10:19.6612
64,29,1,adoption.changeReadiness,medium,,,,2025-05-08 10:10:19.6612
65,29,1,adoption.expectedChallenges,Need to work on budget ROI,,,,2025-05-08 10:10:19.6612
66,29,1,adoption.stakeholderAlignment,medium,,,,2025-05-08 10:10:19.6612
67,29,1,basics.size,Medium (51-500 employees),,,,2025-05-08 10:10:22.814399
68,29,1,basics.goals,Improve CSAT Scores,,,,2025-05-08 10:10:22.814399
69,29,1,basics.industry,Software & Technology,,,,2025-05-08 10:10:22.814399
70,29,1,basics.reportName,Customer Support Revamp,,,,2025-05-08 10:10:22.814399
71,29,1,basics.companyName,Sammy's slice of heaven,,,,2025-05-08 10:10:22.814399
72,29,1,basics.stakeholders,,,,"[""Executive Leadership"", ""Sales & Marketing""]",2025-05-08 10:10:22.814399
73,30,1,basics.companyName,Sammy's Slice of Heaven,,,,2025-05-08 10:45:29.214054
74,30,1,basics.reportName,Ops Team Review,,,,2025-05-08 10:45:29.214054
75,30,1,basics.industry,Software & Technology,,,,2025-05-08 10:45:29.214054
76,30,1,basics.size,Medium (51-500 employees),,,,2025-05-08 10:45:29.214054
77,30,1,basics.goals,"Reduce Costs, streamline for growth, move away from centralized model",,,,2025-05-08 10:45:29.214054
78,30,1,basics.stakeholders,,,,"[""Executive Leadership"", ""Operations""]",2025-05-08 10:45:29.214054
79,30,1,roles.selectedDepartments,,,,"[""Operations""]",2025-05-08 10:45:34.089441
80,30,1,roles.selectedRoles,,,,"[{""id"": 7, ""title"": ""Operations (Ops) / Revenue Operations"", ""department"": ""Operations""}]",2025-05-08 10:45:34.089441
81,30,1,painPoints.roleSpecificPainPoints,,,,"{""7"": {""impact"": 2, ""severity"": 3, ""frequency"": 4, ""description"": ""Not agile enough to support rapid growth""}}",2025-05-08 10:45:50.737433
82,30,1,painPoints.generalPainPoints,"",,,,2025-05-08 10:45:50.737433
83,30,1,workVolume.roleWorkVolume,,,,"{""7"": {""volume"": ""high"", ""complexity"": ""high"", ""repetitiveness"": 5}}",2025-05-08 10:46:02.914838
84,30,1,techStack.dataAccessibility,easy,,,,2025-05-08 10:46:33.741271
85,30,1,techStack.dataQuality,fair,,,,2025-05-08 10:46:33.741271
86,30,1,techStack.systemsIntegration,moderate,,,,2025-05-08 10:46:33.741271
87,30,1,techStack.relevantTools,"Entire GTM stack includes Salesforce, Certinia, Clari, Planhat, CPQ+",,,,2025-05-08 10:46:33.741271
88,30,1,adoption.changeReadiness,high,,,,2025-05-08 10:47:01.759857
89,30,1,adoption.stakeholderAlignment,medium,,,,2025-05-08 10:47:01.759857
90,30,1,adoption.trainingNeeds,Partner with Seller Productivity and get Leadership buyin,,,,2025-05-08 10:47:01.759857
91,30,1,basics.size,Medium (51-500 employees),,,,2025-05-08 10:49:51.563335
92,30,1,basics.goals,"Reduce Costs, streamline for growth, move away from centralized model",,,,2025-05-08 10:49:51.563335
93,30,1,basics.industry,Software & Technology,,,,2025-05-08 10:49:51.563335
94,30,1,basics.reportName,Ops Team Review,,,,2025-05-08 10:49:51.563335
95,30,1,basics.companyName,Sammy's Slice of Heaven,,,,2025-05-08 10:49:51.563335
96,30,1,basics.stakeholders,,,,"[""Executive Leadership"", ""Operations""]",2025-05-08 10:49:51.563335
97,30,1,roles.selectedRoles,,,,"[{""id"": 7, ""title"": ""Operations (Ops) / Revenue Operations"", ""department"": ""Operations""}]",2025-05-08 10:49:53.751851
98,30,1,roles.selectedDepartments,,,,"[""Operations""]",2025-05-08 10:49:53.751851
99,30,1,painPoints.generalPainPoints,"",,,,2025-05-08 10:49:54.670043
100,30,1,painPoints.roleSpecificPainPoints,,,,"{""7"": {""impact"": 2, ""severity"": 3, ""frequency"": 4, ""description"": ""Not agile enough to support rapid growth""}}",2025-05-08 10:49:54.670043
101,30,1,workVolume.roleWorkVolume,,,,"{""7"": {""volume"": ""high"", ""complexity"": ""high"", ""repetitiveness"": 5}}",2025-05-08 10:49:55.405435
102,30,1,techStack.dataQuality,fair,,,,2025-05-08 10:49:56.102383
103,30,1,techStack.relevantTools,"Entire GTM stack includes Salesforce, Certinia, Clari, Planhat, CPQ+",,,,2025-05-08 10:49:56.102383
104,30,1,techStack.dataAccessibility,easy,,,,2025-05-08 10:49:56.102383
105,30,1,techStack.systemsIntegration,moderate,,,,2025-05-08 10:49:56.102383
106,30,1,adoption.trainingNeeds,Partner with Seller Productivity and get Leadership buyin,,,,2025-05-08 10:49:56.901285
107,30,1,adoption.changeReadiness,high,,,,2025-05-08 10:49:56.901285
108,30,1,adoption.stakeholderAlignment,medium,,,,2025-05-08 10:49:56.901285
109,30,1,basics.size,Medium (51-500 employees),,,,2025-05-08 10:50:35.627902
110,30,1,basics.goals,"Reduce Costs, streamline for growth, move away from centralized model",,,,2025-05-08 10:50:35.627902
111,30,1,basics.industry,Software & Technology,,,,2025-05-08 10:50:35.627902
112,30,1,basics.reportName,Ops Team Review,,,,2025-05-08 10:50:35.627902
113,30,1,basics.companyName,Sammy's Slice of Heaven,,,,2025-05-08 10:50:35.627902
114,30,1,basics.stakeholders,,,,"[""Executive Leadership"", ""Operations""]",2025-05-08 10:50:35.627902
115,30,1,techStack.dataQuality,fair,,,,2025-05-08 10:50:36.059424
116,30,1,techStack.relevantTools,"Entire GTM stack includes Salesforce, Certinia, Clari, Planhat, CPQ+",,,,2025-05-08 10:50:36.059424
117,30,1,techStack.dataAccessibility,easy,,,,2025-05-08 10:50:36.059424
118,30,1,techStack.systemsIntegration,moderate,,,,2025-05-08 10:50:36.059424
