id,title,organization_id,user_id,status,created_at,step_data,updated_at,industry,industry_maturity,company_stage,strategic_focus,ai_adoption_score_inputs
9,Test Assessment 001,1,1,completed,2025-05-15 16:58:26.406+00,"{""roles"": {""selectedRoles"": [{""id"": 7, ""title"": ""Operations (Ops) / Revenue Operations"", ""department"": ""Operations""}, {""id"": 3, ""title"": ""Sales Development Representative (SDR)"", ""department"": ""Sales""}, {""id"": 9, ""title"": ""Systems / IT / Infrastructure"", ""department"": ""IT""}], ""selectedDepartments"": [""Operations"", ""IT"", ""Sales""]}, ""basics"": {""size"": ""Large (501-5000 employees)"", ""goals"": """", ""industry"": ""Software & Technology"", ""reportName"": ""Test Assessment 001"", ""companyName"": ""Sammy's Slice of Heaven"", ""companyStage"": ""Early Growth"", ""stakeholders"": [""Executive Leadership"", ""IT Department""], ""industryMaturity"": ""Mature""}, ""scores"": {}, ""adoption"": {""roleAdoption"": {}, ""trainingNeeds"": ""test"", ""successMetrics"": ""test"", ""changeReadiness"": ""low"", ""expectedChallenges"": ""test"", ""stakeholderAlignment"": ""medium""}, ""techStack"": {""notes"": ""test"", ""approvals"": """", ""dataQuality"": ""good"", ""relevantTools"": ""test"", ""currentSystems"": """", ""dataAvailability"": [], ""dataAccessibility"": ""moderate"", ""dataQualityIssues"": """", ""existingAutomation"": """", ""systemsIntegration"": ""easy""}, ""painPoints"": {""generalPainPoints"": ""test"", ""roleSpecificPainPoints"": {""3"": {""impact"": 2, ""severity"": 2, ""frequency"": 3, ""description"": ""test""}, ""7"": {""impact"": 3, ""severity"": 1, ""frequency"": 2, ""description"": ""test""}, ""9"": {""impact"": 1, ""severity"": 3, ""frequency"": 4, ""description"": ""test""}}}, ""workVolume"": {""roleWorkVolume"": {""3"": {""volume"": ""high"", ""complexity"": ""medium"", ""repetitiveness"": 5, ""dataDescription"": ""test""}, ""7"": {""volume"": ""low"", ""complexity"": ""medium"", ""repetitiveness"": 1, ""dataDescription"": ""test""}, ""9"": {""volume"": ""medium"", ""complexity"": ""low"", ""repetitiveness"": 4, ""dataDescription"": ""test""}}}, ""aiAdoptionScoreInputs"": {""affectedUserCount"": 120, ""adoptionRateForecast"": 80, ""timeSavingsPerUserHours"": 7, ""toolSprawlReductionScore"": 4, ""costEfficiencyGainsAmount"": 25000, ""performanceImprovementPercentage"": 30}}",2025-05-15 16:58:26.406+00,Software & Technology,Mature,Early Growth,"{""Customer Experience"",""Innovation & New Products"",""Operational Excellence""}","{""affectedUserCount"": 120, ""adoptionRateForecast"": 80, ""timeSavingsPerUserHours"": 7, ""toolSprawlReductionScore"": 4, ""costEfficiencyGainsAmount"": 25000, ""performanceImprovementPercentage"": 30}"
1,New AI Transformation Assessment,1,1,draft,2025-04-27 16:15:10.234956+00,"{""basics"": {""size"": ""medium"", ""goals"": ""test"", ""industry"": ""Software"", ""companyName"": ""test"", ""stakeholders"": [""executives"", ""it"", ""sales""]}}",2025-04-27 16:15:10.234956+00,Retail & E-commerce,Immature,Startup,,
2,New AI Transformation Assessment,1,1,completed,2025-05-01 23:39:53.321076+00,"{""basics"": {""size"": ""Large (501-5000 employees)"", ""goals"": ""Cost Savings, reduce renewable churn"", ""industry"": ""Software & Technology"", ""companyName"": ""Test Company"", ""stakeholders"": [""CRO""]}}",2025-05-01 23:39:53.321076+00,Retail & E-commerce,Immature,Startup,,
3,New AI Transformation Assessment,1,1,completed,2025-05-02 19:29:41.233243+00,"{""basics"": {""size"": ""Enterprise (5000+ employees)"", ""goals"": ""Tests for this industry"", ""industry"": ""Media & Entertainment"", ""companyName"": ""Test 3"", ""stakeholders"": [""ITDirectorandotherpeople""]}}",2025-05-02 19:29:41.233243+00,Retail & E-commerce,Immature,Startup,,
4,New AI Transformation Assessment,1,1,completed,2025-05-02 19:47:09.837689+00,"{""basics"": {""size"": ""Medium (51-500 employees)"", ""goals"": ""Pizza production could be faster, we want customers to try out a new way to enhance their tech stack."", ""industry"": ""Retail & E-commerce"", ""companyName"": ""Sammy's Slice of Heaven"", ""stakeholders"": [""CEO""]}}",2025-05-02 19:47:09.837689+00,Retail & E-commerce,Immature,Startup,,
5,New AI Transformation Assessment,1,1,draft,2025-05-03 01:24:36.931734+00,"{""basics"": {""size"": ""Enterprise (5000+ employees)"", ""goals"": ""Test"", ""industry"": ""Software & Technology"", ""companyName"": ""Test Assessment 2"", ""stakeholders"": [""CEO""]}}",2025-05-03 01:24:36.931734+00,Retail & E-commerce,Immature,Startup,,
6,New AI Transformation Assessment,1,1,draft,2025-05-09 15:09:14.059379+00,"{""roles"": {""selectedRoles"": [{""id"": 5, ""title"": ""Sales Engineer / Solutions Engineer (SE)"", ""department"": ""Sales""}, {""id"": 1, ""title"": ""Sales (e.g., Regional Sales Manager)"", ""department"": ""Sales""}], ""selectedDepartments"": [""Sales""]}, ""adoption"": {""changeReadiness"": ""medium"", ""stakeholderAlignment"": ""high""}, ""techStack"": {""dataQuality"": ""fair"", ""dataAccessibility"": ""moderate""}, ""painPoints"": {""generalPainPoints"": """", ""roleSpecificPainPoints"": {""1"": {""description"": """"}, ""5"": {""description"": """"}}}, ""workVolume"": {""roleWorkVolume"": {""5"": {""volume"": ""medium"", ""complexity"": ""high"", ""repetitiveness"": 4}}}}",2025-05-09 15:09:14.059379+00,Retail & E-commerce,Immature,Startup,,
7,New AI Transformation Assessment,1,1,draft,2025-05-09 19:28:41.238602+00,"{""roles"": {""selectedRoles"": [{""id"": 1, ""title"": ""Sales (e.g., Regional Sales Manager)"", ""department"": ""Sales""}, {""id"": 9, ""title"": ""Systems / IT / Infrastructure"", ""department"": ""IT""}], ""selectedDepartments"": [""IT"", ""Sales""]}, ""basics"": {""size"": ""Medium (51-500 employees)"", ""industry"": ""Software & Technology"", ""stakeholders"": [""Executive Leadership"", ""IT Department""]}}",2025-05-09 19:28:41.238602+00,Retail & E-commerce,Immature,Startup,,
8,New AI Transformation Assessment,1,1,draft,2025-05-09 19:40:30.758734+00,"{""roles"": {""selectedRoles"": [{""id"": 1, ""title"": ""Sales (e.g., Regional Sales Manager)"", ""department"": ""Sales""}], ""selectedDepartments"": [""Sales"", ""IT""]}, ""basics"": {""size"": ""Medium (51-500 employees)"", ""goals"": ""streamline"", ""industry"": ""Software & Technology"", ""stakeholders"": [""IT Department""]}}",2025-05-09 19:40:30.758734+00,Retail & E-commerce,Immature,Startup,,
10,Test Assessment 002,1,1,completed,2025-05-15 17:14:56.473+00,"{""roles"": {""selectedRoles"": [{""id"": 4, ""title"": ""Customer Success Manager (CSM)"", ""department"": ""Customer Success""}, {""id"": 2, ""title"": ""Marketing"", ""department"": ""Marketing""}, {""id"": 1, ""title"": ""Sales (e.g., Regional Sales Manager)"", ""department"": ""Sales""}], ""selectedDepartments"": [""Sales"", ""Marketing"", ""Customer Success""]}, ""basics"": {""size"": ""Medium (51-500 employees)"", ""goals"": ""test"", ""industry"": ""Retail & E-commerce"", ""reportName"": ""Test Assessment 002"", ""companyName"": ""Sammy's Slice of Heaven"", ""companyStage"": ""Scaling"", ""stakeholders"": [""Executive Leadership""], ""industryMaturity"": ""Immature""}, ""scores"": {}, ""adoption"": {""roleAdoption"": {}, ""trainingNeeds"": ""test"", ""successMetrics"": ""test"", ""changeReadiness"": ""high"", ""expectedChallenges"": ""test"", ""stakeholderAlignment"": ""low""}, ""techStack"": {""notes"": ""test"", ""approvals"": """", ""dataQuality"": ""good"", ""relevantTools"": ""test"", ""currentSystems"": """", ""dataAvailability"": [], ""dataAccessibility"": ""moderate"", ""dataQualityIssues"": """", ""existingAutomation"": """", ""systemsIntegration"": ""difficult""}, ""painPoints"": {""generalPainPoints"": ""1"", ""roleSpecificPainPoints"": {""1"": {""impact"": 1, ""severity"": 4, ""frequency"": 5, ""description"": ""test""}, ""2"": {""impact"": 5, ""severity"": 1, ""frequency"": 2, ""description"": ""test""}, ""4"": {""impact"": 1, ""severity"": 3, ""frequency"": 2, ""description"": ""test""}}}, ""workVolume"": {""roleWorkVolume"": {""1"": {""volume"": ""medium"", ""complexity"": ""medium"", ""repetitiveness"": 1}, ""2"": {""volume"": ""high"", ""complexity"": ""high"", ""repetitiveness"": 1}, ""4"": {""volume"": ""low"", ""complexity"": ""low"", ""repetitiveness"": 1}}}, ""aiAdoptionScoreInputs"": {""affectedUserCount"": 120, ""adoptionRateForecast"": 80, ""timeSavingsPerUserHours"": 7, ""toolSprawlReductionScore"": 4, ""costEfficiencyGainsAmount"": 25000, ""performanceImprovementPercentage"": 30}}",2025-05-15 17:14:56.473+00,Retail & E-commerce,Immature,Scaling,"{""Efficiency & Productivity"",""Revenue Growth"",""Operational Excellence""}","{""affectedUserCount"": 120, ""adoptionRateForecast"": 80, ""timeSavingsPerUserHours"": 7, ""toolSprawlReductionScore"": 4, ""costEfficiencyGainsAmount"": 25000, ""performanceImprovementPercentage"": 30}"
11,IT Tool Rationalization,2,1,draft,2025-05-27 16:53:19.263+00,"{""roles"": {""selectedRoles"": [], ""selectedDepartments"": []}, ""basics"": {""size"": ""Large (501-5000 employees)"", ""goals"": """", ""industry"": ""Software & Technology"", ""reportName"": ""IT Tool Rationalization"", ""companyName"": ""Sam's Slice of Heaven"", ""companyStage"": ""Mature"", ""stakeholders"": [""Executive Leadership"", ""Finance""], ""industryMaturity"": ""Mature""}, ""scores"": {}, ""adoption"": {""roleAdoption"": {}, ""trainingNeeds"": """", ""successMetrics"": """", ""expectedChallenges"": """"}, ""techStack"": {""notes"": """", ""approvals"": """", ""relevantTools"": """", ""currentSystems"": """", ""dataAvailability"": [], ""dataQualityIssues"": """", ""existingAutomation"": """"}, ""painPoints"": {""generalPainPoints"": """", ""roleSpecificPainPoints"": {}}, ""workVolume"": {""roleWorkVolume"": {}}, ""aiAdoptionScoreInputs"": {""affectedUserCount"": 120, ""adoptionRateForecast"": 80, ""timeSavingsPerUserHours"": 7, ""toolSprawlReductionScore"": 4, ""costEfficiencyGainsAmount"": 25000, ""performanceImprovementPercentage"": 30}}",2025-05-27 16:53:33.089+00,Software & Technology,Mature,Mature,"{""Efficiency & Productivity"",""Operational Excellence""}","{""affectedUserCount"": 120, ""adoptionRateForecast"": 80, ""timeSavingsPerUserHours"": 7, ""toolSprawlReductionScore"": 4, ""costEfficiencyGainsAmount"": 25000, ""performanceImprovementPercentage"": 30}"
18,Test Assessment 0014,2,1,completed,2025-06-09 19:27:57.005+00,"{""roles"": {""selectedRoles"": [4], ""prioritizedRoles"": [4], ""selectedDepartments"": []}, ""basics"": {""size"": ""Large (501-5000 employees)"", ""goals"": """", ""industry"": ""Software & Technology"", ""reportName"": ""Test Assessment 0014"", ""companyName"": ""Sam's Slice of Heaven"", ""companyStage"": ""Startup"", ""stakeholders"": [""Operations""], ""industryMaturity"": ""Mature""}, ""scores"": {}, ""adoption"": {""roleAdoption"": {}}, ""techStack"": {""dataQuality"": 5, ""currentSystems"": ""Easy (APIs available, modern systems)"", ""dataAvailability"": [""Moderate (Requires some effort/cleanup)""], ""existingAutomation"": ""Easy (APIs available, modern systems)""}, ""painPoints"": {""generalPainPoints"": """", ""roleSpecificPainPoints"": {""4"": {""impact"": 2, ""severity"": 4, ""frequency"": 5}}}, ""workVolume"": {""roleWorkVolume"": {""4"": {""volume"": ""medium"", ""complexity"": ""low"", ""repetitiveness"": 1}}}, ""aiAdoptionScoreInputs"": {""affectedUserCount"": 50, ""adoptionRateForecast"": 75, ""timeSavingsPerUserHours"": 5, ""toolSprawlReductionScore"": 4, ""costEfficiencyGainsAmount"": 100000, ""performanceImprovementPercentage"": 20}}",2025-06-09 19:27:57.005+00,Software & Technology,Mature,Startup,"{""Revenue Growth"",""Innovation & New Products""}",
13,Test Assessment 006,2,1,draft,2025-06-01 07:46:00.856+00,"{""roles"": {""selectedRoles"": [{""id"": 1, ""title"": ""Sales (e.g., Regional Sales Manager)"", ""department"": ""Sales""}, {""id"": 3, ""title"": ""Sales Development Representative (SDR)"", ""department"": ""Sales""}, {""id"": 9, ""title"": ""Systems / IT / Infrastructure"", ""department"": ""IT""}], ""selectedDepartments"": [""IT"", ""Sales""]}, ""basics"": {""size"": ""Large (501-5000 employees)"", ""goals"": """", ""industry"": ""Software & Technology"", ""reportName"": ""Test Assessment 006"", ""companyName"": ""Sam's Slice of Heaven"", ""companyStage"": ""Scaling"", ""stakeholders"": [""Efficiency & Productivity"", ""Executive Leadership"", ""Operations""], ""industryMaturity"": ""Mature""}, ""scores"": {}, ""adoption"": {""roleAdoption"": {}, ""trainingNeeds"": ""test"", ""successMetrics"": ""test"", ""changeReadiness"": ""medium"", ""expectedChallenges"": ""test"", ""stakeholderAlignment"": ""low""}, ""techStack"": {""notes"": ""test"", ""approvals"": """", ""dataQuality"": ""poor"", ""relevantTools"": ""tes"", ""currentSystems"": """", ""dataAvailability"": [], ""dataAccessibility"": ""moderate"", ""dataQualityIssues"": """", ""existingAutomation"": """", ""systemsIntegration"": ""difficult""}, ""painPoints"": {""generalPainPoints"": ""test"", ""roleSpecificPainPoints"": {""1"": {""impact"": 5, ""severity"": 1, ""frequency"": 3, ""description"": ""test""}, ""3"": {""impact"": 1, ""severity"": 1, ""frequency"": 2, ""description"": ""test""}, ""9"": {""impact"": 5, ""severity"": 3, ""frequency"": 4, ""description"": ""test""}}}, ""workVolume"": {""roleWorkVolume"": {""1"": {""volume"": ""low"", ""complexity"": ""medium"", ""repetitiveness"": 4, ""dataDescription"": ""test""}, ""3"": {""volume"": ""medium"", ""complexity"": ""high"", ""repetitiveness"": 2, ""dataDescription"": ""test""}, ""9"": {""volume"": ""medium"", ""complexity"": ""high"", ""repetitiveness"": 2, ""dataDescription"": ""test""}}}, ""aiAdoptionScoreInputs"": {""affectedUserCount"": 120, ""adoptionRateForecast"": 80, ""timeSavingsPerUserHours"": 7, ""toolSprawlReductionScore"": 4, ""costEfficiencyGainsAmount"": 25000, ""performanceImprovementPercentage"": 30}}",2025-06-01 07:46:00.856+00,Software & Technology,Mature,Scaling,"{""Efficiency & Productivity""}","{""affectedUserCount"": 120, ""adoptionRateForecast"": 80, ""timeSavingsPerUserHours"": 7, ""toolSprawlReductionScore"": 4, ""costEfficiencyGainsAmount"": 25000, ""performanceImprovementPercentage"": 30}"
