capability_id,tool_id
1,1
1,2
1,3
1,4
2,4
2,6
2,7
2,8
3,9
3,10
3,11
3,12
4,13
4,14
4,15
5,16
5,17
5,18
5,19
5,20
6,4
6,22
6,23
6,24
7,25
7,26
7,27
8,28
8,29
8,30
9,31
9,25
9,33
10,34
10,25
10,33
11,37
11,38
11,39
12,40
12,41
12,42
12,43
13,44
13,45
13,46
13,47
14,31
14,38
14,50
14,25
15,31
15,25
15,54
15,33
16,56
16,54
16,58
16,59
17,25
17,31
17,33
17,38
19,69
19,70
19,71
20,40
20,73
20,74
21,31
21,25
21,77
22,31
22,25
22,33
23,31
23,67
23,38
23,50
24,85
24,86
24,87
25,88
25,89
25,90
25,91
26,33
26,31
26,50
26,25
26,38
27,31
27,38
27,99
27,100
27,101
28,102
28,103
28,104
28,105
29,54
29,56
29,33
30,54
30,56
30,33
32,44
32,45
32,47
32,46
33,7
33,31
33,122
34,28
34,29
34,40
35,126
35,127
35,128
36,129
36,25
36,112
37,54
37,56
37,59
37,135
38,33
38,137
38,50
38,56
39,54
39,56
39,33
39,135
40,69
40,38
40,146
40,99
41,148
41,149
41,150
42,31
42,38
42,50
42,100
42,101
45,64
45,163
45,164
45,165
46,166
46,7
46,168
46,169
47,31
47,25
47,172
48,25
48,26
48,27
50,56
50,54
50,59
50,31
51,31
51,38
51,25
51,59
52,34
52,31
52,7
52,192
53,193
53,194
53,195
53,196
54,50
54,31
54,38
54,200
54,201
55,202
55,203
55,204
55,205
56,7
57,47
57,68
57,45
57,212
58,31
58,214
58,38
58,216
59,34
59,192
59,219
59,220
60,44
60,45
60,47
60,46
60,68
61,226
61,227
61,59
61,229
63,105
63,7
63,236
64,50
64,101
64,38
65,241
65,242
65,243
65,244
68,253
68,150
68,148
68,256
69,257
69,258
69,259
70,54
70,56
70,33
71,31
73,54
73,56
73,33
73,137
74,37
74,50
74,38
74,101
75,31
75,25
75,33
75,54
76,112
77,59
77,229
77,135
77,56
78,25
78,33
78,31
79,293
79,294
79,295
80,296
80,229
80,135
80,248
83,303
83,305
83,309
83,310
83,311
84,306
84,313
84,314
84,315
85,316
85,68
85,27
85,319
86,50
86,31
86,38
86,101
87,324
87,325
87,326
88,327
88,328
88,329
89,330
89,331
89,332
90,31
90,25
90,335
91,336
91,88
91,90
92,339
92,340
92,341
92,342
94,54
94,56
94,33
95,351
95,33
95,56
97,358
97,359
97,360
98,112
98,113
98,43
98,364
99,112
99,113
99,367
100,44
100,45
100,47
100,68
100,46
101,40
101,41
101,43
101,376
102,64
102,165
102,65
102,67
103,54
103,56
103,58
104,31
104,25
104,335
105,34
105,31
105,104
105,7
107,31
107,38
107,50
108,56
108,54
109,56
109,54
109,58
109,357
110,46
110,44
110,47
110,45
111,410
111,411
111,412
111,413
113,413
113,418
113,56
116,50
116,200
116,38
116,100
118,54
118,56
118,436
118,347
119,40
119,69
119,56
120,441
120,113
120,43
120,444
122,56
122,54
122,451
123,56
123,54
123,296
123,179
124,456
124,457
124,458
125,459
125,460
125,461
125,462
126,339
126,340
126,341
126,466
127,467
127,468
127,469
127,470
128,330
128,331
128,332
128,150
30,16
30,112
30,113
30,115
28,33
28,54
28,56
8,64
8,65
8,66
8,67
8,68
8,54
8,56
8,58
8,59
8,179
41,135
41,159
41,160
52,105
52,208
52,38
52,50
52,266
52,112
52,113
52,203
52,69
52,74
52,284
57,37
57,38
57,50
57,101
57,100
57,59
57,135
57,229
57,248
57,249
57,250
57,251
57,252
78,54
78,56
78,296
54,343
54,344
54,345
54,346
54,347
74,54
74,56
74,58
74,357
80,303
80,304
80,305
80,306
102,25
102,26
102,31
102,33
104,54
104,56
104,357
104,37
104,38
104,50
104,101
113,25
113,31
113,335
122,58
122,296
125,34
125,414
125,415
128,25
128,37
128,38
128,448
