id,title,organization_id,user_id,status,created_at,step_data,updated_at,industry,industry_maturity,company_stage,strategic_focus,ai_adoption_score_inputs
62,Pre-Sales AI Transformation,1,1,completed,2025-05-22 22:22:37.451-05,"{""roles"": {""selectedRoles"": [{""id"": 1, ""title"": ""Sales (e.g., Regional Sales Manager)"", ""department"": ""Sales""}, {""id"": 5, ""title"": ""Sales Engineer / Solutions Engineer (SE)"", ""department"": ""Sales""}, {""id"": 9, ""title"": ""Systems / IT / Infrastructure"", ""department"": ""IT""}], ""selectedDepartments"": [""Sales"", ""IT""]}, ""basics"": {""size"": ""Medium (51-500 employees)"", ""goals"": ""Automate pre-sales tasks, reduce SE workload, accelerate sales cycle, and ensure knowledge consistency across the team."", ""industry"": ""Software & Technology"", ""reportName"": ""Pre-Sales AI Transformation"", ""companyName"": ""Enterprise SaaS Inc."", ""companyStage"": ""Scaling"", ""stakeholders"": [""Executive Leadership"", ""IT Department"", ""Sales & Marketing""], ""industryMaturity"": ""Mature""}, ""scores"": {}, ""adoption"": {""roleAdoption"": {}, ""trainingNeeds"": ""SEs need training on prompt engineering, AEs need basic AI interaction training, IT needs deployment knowledge"", ""successMetrics"": ""50% increase in demo capacity, 2-week reduction in sales cycle, elimination of overtime, consistent customer feedback"", ""changeReadiness"": ""medium"", ""expectedChallenges"": ""Initial skepticism about job security, ensuring AI accuracy, integration with existing systems"", ""stakeholderAlignment"": ""high""}, ""techStack"": {""notes"": """", ""approvals"": """", ""dataQuality"": ""fair"", ""relevantTools"": ""Salesforce CRM, Slack, Zoom, AWS (for demo environments), internal product documentation system"", ""currentSystems"": """", ""dataAvailability"": [], ""dataAccessibility"": ""moderate"", ""dataQualityIssues"": """", ""existingAutomation"": """", ""systemsIntegration"": ""moderate""}, ""painPoints"": {""generalPainPoints"": ""SE team is overworked, handling ~5-6 deals in parallel each. Lead times for demos are too long (3 weeks). Knowledge silos exist across the team. Small/mid-market deals often go without proper pre-sales support."", ""roleSpecificPainPoints"": {""1"": {""impact"": 4, ""severity"": 4, ""frequency"": 5, ""description"": ""Sales reps spend too much time on manual quote creation and pricing lookups.""}, ""5"": {""impact"": 5, ""severity"": 5, ""frequency"": 5, ""description"": ""Repetitive tasks like demo environment setup and RFP responses, lack of time for complex deals, overtime work causing burnout.""}, ""9"": {""impact"": 4, ""severity"": 4, ""frequency"": 4, ""description"": ""Struggling to maintain and integrate multiple systems across departments.""}}}, ""workVolume"": {""roleWorkVolume"": {""1"": {""volume"": ""high"", ""complexity"": ""medium"", ""repetitiveness"": 4, ""dataDescription"": ""Customer data, pricing information, and sales forecasts""}, ""5"": {""volume"": ""high"", ""complexity"": ""high"", ""repetitiveness"": 5, ""dataDescription"": ""Technical specifications, demo environments, customer requirements""}, ""9"": {""volume"": ""medium"", ""complexity"": ""high"", ""repetitiveness"": 3, ""dataDescription"": ""System configurations, integration points, and infrastructure documentation""}}}, ""aiAdoptionScoreInputs"": {""affectedUserCount"": 38, ""adoptionRateForecast"": 80, ""timeSavingsPerUserHours"": 7, ""toolSprawlReductionScore"": 4, ""costEfficiencyGainsAmount"": 500000, ""performanceImprovementPercentage"": 50}}",2025-05-22 22:22:37.451-05,Software & Technology,Mature,Scaling,"{""Efficiency & Productivity"",""Cost Reduction"",""Revenue Growth"",""Operational Excellence""}","{""affectedUserCount"": 38, ""adoptionRateForecast"": 80, ""timeSavingsPerUserHours"": 7, ""toolSprawlReductionScore"": 4, ""costEfficiencyGainsAmount"": 500000, ""performanceImprovementPercentage"": 50}"
35,IT Tool Rationalization,1,1,draft,2025-05-09 13:37:39.047-05,"{""roles"": {""selectedRoles"": [], ""selectedDepartments"": []}, ""basics"": {""size"": ""Medium (51-500 employees)"", ""goals"": """", ""industry"": ""Retail & E-commerce"", ""reportName"": ""IT Tool Rationalization"", ""companyName"": ""Sammy's Slice of Heaven"", ""companyStage"": ""Scaling"", ""stakeholders"": [], ""industryMaturity"": ""Mature""}, ""scores"": {}, ""adoption"": {""roleAdoption"": {}, ""trainingNeeds"": """", ""successMetrics"": """", ""expectedChallenges"": """"}, ""techStack"": {""notes"": """", ""approvals"": """", ""relevantTools"": """", ""currentSystems"": """", ""dataAvailability"": [], ""dataQualityIssues"": """", ""existingAutomation"": """"}, ""painPoints"": {""generalPainPoints"": """", ""roleSpecificPainPoints"": {}}, ""workVolume"": {""roleWorkVolume"": {}}}",2025-05-09 13:52:00.912-05,Retail & E-commerce,Mature,Scaling,{},
54,Pre-Sales AI Transformation,1,1,draft,2025-05-21 06:34:26.357-05,"{""roles"": {""selectedRoles"": [{""id"": 1, ""title"": ""Sales (e.g., Regional Sales Manager)"", ""department"": ""Sales""}, {""id"": 5, ""title"": ""Sales Engineer / Solutions Engineer (SE)"", ""department"": ""Sales""}, {""id"": 9, ""title"": ""Systems / IT / Infrastructure"", ""department"": ""IT""}], ""selectedDepartments"": [""Sales"", ""IT""]}, ""basics"": {""size"": ""Medium (51-500 employees)"", ""goals"": ""Automate pre-sales tasks, reduce SE workload, accelerate sales cycle, and ensure knowledge consistency across the team."", ""industry"": ""Software & Technology"", ""reportName"": ""Pre-Sales AI Transformation"", ""companyName"": ""Enterprise SaaS Inc."", ""companyStage"": ""Scaling"", ""stakeholders"": [""Executive Leadership"", ""IT Department"", ""Sales & Marketing""], ""industryMaturity"": ""Mature""}, ""scores"": {}, ""adoption"": {""roleAdoption"": {}, ""trainingNeeds"": ""SEs need training on prompt engineering, AEs need basic AI interaction training, IT needs deployment knowledge"", ""successMetrics"": ""50% increase in demo capacity, 2-week reduction in sales cycle, elimination of overtime, consistent customer feedback"", ""changeReadiness"": ""medium"", ""expectedChallenges"": ""Initial skepticism about job security, ensuring AI accuracy, integration with existing systems"", ""stakeholderAlignment"": ""high""}, ""techStack"": {""notes"": """", ""approvals"": """", ""dataQuality"": ""fair"", ""relevantTools"": ""Salesforce CRM, Slack, Zoom, AWS (for demo environments), internal product documentation system"", ""currentSystems"": """", ""dataAvailability"": [], ""dataAccessibility"": ""moderate"", ""dataQualityIssues"": """", ""existingAutomation"": """", ""systemsIntegration"": ""moderate""}, ""painPoints"": {""generalPainPoints"": ""SE team is overworked, handling ~5-6 deals in parallel each. Lead times for demos are too long (3 weeks). Knowledge silos exist across the team. Small/mid-market deals often go without proper pre-sales support."", ""roleSpecificPainPoints"": {""1"": {""impact"": 4, ""severity"": 4, ""frequency"": 5, ""description"": ""Sales reps spend too much time on manual quote creation and pricing lookups.""}, ""5"": {""impact"": 5, ""severity"": 5, ""frequency"": 5, ""description"": ""Repetitive tasks like demo environment setup and RFP responses, lack of time for complex deals, overtime work causing burnout.""}, ""9"": {""impact"": 4, ""severity"": 4, ""frequency"": 4, ""description"": ""Struggling to maintain and integrate multiple systems across departments.""}}}, ""workVolume"": {""roleWorkVolume"": {""1"": {""volume"": ""high"", ""complexity"": ""medium"", ""repetitiveness"": 4, ""dataDescription"": ""Customer data, pricing information, and sales forecasts""}, ""5"": {""volume"": ""high"", ""complexity"": ""high"", ""repetitiveness"": 5, ""dataDescription"": ""Technical specifications, demo environments, customer requirements""}, ""9"": {""volume"": ""medium"", ""complexity"": ""high"", ""repetitiveness"": 3, ""dataDescription"": ""System configurations, integration points, and infrastructure documentation""}}}, ""aiAdoptionScoreInputs"": {""affectedUserCount"": 38, ""adoptionRateForecast"": 80, ""timeSavingsPerUserHours"": 7, ""toolSprawlReductionScore"": 4, ""costEfficiencyGainsAmount"": 500000, ""performanceImprovementPercentage"": 50}}",2025-05-21 06:34:26.357-05,Software & Technology,Mature,Scaling,"{""Efficiency & Productivity"",""Cost Reduction"",""Revenue Growth"",""Operational Excellence""}","{""affectedUserCount"": 38, ""adoptionRateForecast"": 80, ""timeSavingsPerUserHours"": 7, ""toolSprawlReductionScore"": 4, ""costEfficiencyGainsAmount"": 500000, ""performanceImprovementPercentage"": 50}"
41,Field Support Rationalization,1,1,completed,2025-05-11 21:45:14.208-05,"{""roles"": {""selectedRoles"": [{""id"": 5, ""title"": ""Sales Engineer / Solutions Engineer (SE)"", ""department"": ""Sales""}], ""selectedDepartments"": [""Sales""]}, ""basics"": {""size"": ""Medium (51-500 employees)"", ""goals"": """", ""industry"": ""Retail & E-commerce"", ""reportName"": ""Field Support Rationalization"", ""companyName"": ""Sammy's Slice of Heaven"", ""companyStage"": ""Scaling"", ""stakeholders"": [""Executive Leadership"", ""IT Department""], ""industryMaturity"": ""Mature""}, ""scores"": {}, ""adoption"": {""roleAdoption"": {}, ""trainingNeeds"": """", ""successMetrics"": """", ""changeReadiness"": ""medium"", ""expectedChallenges"": """", ""stakeholderAlignment"": ""medium""}, ""techStack"": {""notes"": """", ""approvals"": """", ""dataQuality"": ""fair"", ""relevantTools"": """", ""currentSystems"": """", ""dataAvailability"": [], ""dataAccessibility"": ""moderate"", ""dataQualityIssues"": """", ""existingAutomation"": """", ""systemsIntegration"": ""moderate""}, ""painPoints"": {""generalPainPoints"": """", ""roleSpecificPainPoints"": {""5"": {""impact"": 3, ""severity"": 3, ""frequency"": 3}}}, ""workVolume"": {""roleWorkVolume"": {""5"": {""volume"": ""medium"", ""complexity"": ""medium"", ""repetitiveness"": 3}}}, ""aiAdoptionScoreInputs"": {""affectedUserCount"": 50, ""adoptionRateForecast"": 75, ""timeSavingsPerUserHours"": 5, ""toolSprawlReductionScore"": 1, ""costEfficiencyGainsAmount"": 10000, ""performanceImprovementPercentage"": 20}}",2025-05-11 21:45:14.208-05,Retail & E-commerce,Mature,Scaling,"{""Cost Reduction"",""Customer Experience"",""Operational Excellence""}","{""affectedUserCount"": 50, ""adoptionRateForecast"": 75, ""timeSavingsPerUserHours"": 5, ""toolSprawlReductionScore"": 1, ""costEfficiencyGainsAmount"": 10000, ""performanceImprovementPercentage"": 20}"
47,Test Assessment 005,1,1,completed,2025-05-18 20:49:11.363-05,"{""roles"": {""selectedRoles"": [{""id"": 2, ""title"": ""Marketing"", ""department"": ""Marketing""}, {""id"": 9, ""title"": ""Systems / IT / Infrastructure"", ""department"": ""IT""}, {""id"": 7, ""title"": ""Operations (Ops) / Revenue Operations"", ""department"": ""Operations""}], ""selectedDepartments"": [""IT"", ""Operations"", ""Marketing""]}, ""basics"": {""size"": ""Small (1-50 employees)"", ""goals"": ""test"", ""industry"": ""Software & Technology"", ""reportName"": ""Test Assessment 005"", ""companyName"": ""Sammy's Slice of Heaven"", ""companyStage"": ""Early Growth"", ""stakeholders"": [""Executive Leadership""], ""industryMaturity"": ""Mature""}, ""scores"": {}, ""adoption"": {""roleAdoption"": {}, ""trainingNeeds"": ""test"", ""successMetrics"": ""test"", ""changeReadiness"": ""low"", ""expectedChallenges"": ""test"", ""stakeholderAlignment"": ""low""}, ""techStack"": {""notes"": ""test"", ""approvals"": """", ""dataQuality"": ""fair"", ""relevantTools"": ""test"", ""currentSystems"": """", ""dataAvailability"": [], ""dataAccessibility"": ""moderate"", ""dataQualityIssues"": """", ""existingAutomation"": """", ""systemsIntegration"": ""easy""}, ""painPoints"": {""generalPainPoints"": ""test"", ""roleSpecificPainPoints"": {""2"": {""impact"": 1, ""severity"": 1, ""frequency"": 1, ""description"": ""test""}, ""7"": {""impact"": 3, ""severity"": 3, ""frequency"": 3, ""description"": ""test""}, ""9"": {""impact"": 2, ""severity"": 2, ""frequency"": 2, ""description"": ""test""}}}, ""workVolume"": {""roleWorkVolume"": {""2"": {""volume"": ""medium"", ""complexity"": ""medium"", ""repetitiveness"": 3, ""dataDescription"": ""test""}, ""7"": {""volume"": ""low"", ""complexity"": ""high"", ""repetitiveness"": 1, ""dataDescription"": ""test""}, ""9"": {""volume"": ""high"", ""complexity"": ""low"", ""repetitiveness"": 3, ""dataDescription"": ""test""}}}, ""aiAdoptionScoreInputs"": {""affectedUserCount"": 120, ""adoptionRateForecast"": 80, ""timeSavingsPerUserHours"": 7, ""toolSprawlReductionScore"": 4, ""costEfficiencyGainsAmount"": 250000, ""performanceImprovementPercentage"": 30}}",2025-05-18 20:49:11.363-05,Software & Technology,Mature,Early Growth,"{""Efficiency & Productivity""}","{""affectedUserCount"": 120, ""adoptionRateForecast"": 80, ""timeSavingsPerUserHours"": 7, ""toolSprawlReductionScore"": 4, ""costEfficiencyGainsAmount"": 250000, ""performanceImprovementPercentage"": 30}"
55,Pre-Sales AI Transformation,1,1,draft,2025-05-21 06:42:12.674-05,"{""roles"": {""selectedRoles"": [{""id"": 1, ""title"": ""Sales (e.g., Regional Sales Manager)"", ""department"": ""Sales""}, {""id"": 5, ""title"": ""Sales Engineer / Solutions Engineer (SE)"", ""department"": ""Sales""}, {""id"": 9, ""title"": ""Systems / IT / Infrastructure"", ""department"": ""IT""}], ""selectedDepartments"": [""Sales"", ""IT""]}, ""basics"": {""size"": ""Medium (51-500 employees)"", ""goals"": ""Automate pre-sales tasks, reduce SE workload, accelerate sales cycle, and ensure knowledge consistency across the team."", ""industry"": ""Software & Technology"", ""reportName"": ""Pre-Sales AI Transformation"", ""companyName"": ""Enterprise SaaS Inc."", ""companyStage"": ""Scaling"", ""stakeholders"": [""Executive Leadership"", ""IT Department"", ""Sales & Marketing""], ""industryMaturity"": ""Mature""}, ""scores"": {}, ""adoption"": {""roleAdoption"": {}, ""trainingNeeds"": ""SEs need training on prompt engineering, AEs need basic AI interaction training, IT needs deployment knowledge"", ""successMetrics"": ""50% increase in demo capacity, 2-week reduction in sales cycle, elimination of overtime, consistent customer feedback"", ""changeReadiness"": ""medium"", ""expectedChallenges"": ""Initial skepticism about job security, ensuring AI accuracy, integration with existing systems"", ""stakeholderAlignment"": ""high""}, ""techStack"": {""notes"": """", ""approvals"": """", ""dataQuality"": ""fair"", ""relevantTools"": ""Salesforce CRM, Slack, Zoom, AWS (for demo environments), internal product documentation system"", ""currentSystems"": """", ""dataAvailability"": [], ""dataAccessibility"": ""moderate"", ""dataQualityIssues"": """", ""existingAutomation"": """", ""systemsIntegration"": ""moderate""}, ""painPoints"": {""generalPainPoints"": ""SE team is overworked, handling ~5-6 deals in parallel each. Lead times for demos are too long (3 weeks). Knowledge silos exist across the team. Small/mid-market deals often go without proper pre-sales support."", ""roleSpecificPainPoints"": {""1"": {""impact"": 4, ""severity"": 4, ""frequency"": 5, ""description"": ""Sales reps spend too much time on manual quote creation and pricing lookups.""}, ""5"": {""impact"": 5, ""severity"": 5, ""frequency"": 5, ""description"": ""Repetitive tasks like demo environment setup and RFP responses, lack of time for complex deals, overtime work causing burnout.""}, ""9"": {""impact"": 4, ""severity"": 4, ""frequency"": 4, ""description"": ""Struggling to maintain and integrate multiple systems across departments.""}}}, ""workVolume"": {""roleWorkVolume"": {""1"": {""volume"": ""high"", ""complexity"": ""medium"", ""repetitiveness"": 4, ""dataDescription"": ""Customer data, pricing information, and sales forecasts""}, ""5"": {""volume"": ""high"", ""complexity"": ""high"", ""repetitiveness"": 5, ""dataDescription"": ""Technical specifications, demo environments, customer requirements""}, ""9"": {""volume"": ""medium"", ""complexity"": ""high"", ""repetitiveness"": 3, ""dataDescription"": ""System configurations, integration points, and infrastructure documentation""}}}, ""aiAdoptionScoreInputs"": {""affectedUserCount"": 38, ""adoptionRateForecast"": 80, ""timeSavingsPerUserHours"": 7, ""toolSprawlReductionScore"": 4, ""costEfficiencyGainsAmount"": 500000, ""performanceImprovementPercentage"": 50}}",2025-05-21 06:42:12.674-05,Software & Technology,Mature,Scaling,"{""Efficiency & Productivity"",""Cost Reduction"",""Revenue Growth"",""Operational Excellence""}","{""affectedUserCount"": 38, ""adoptionRateForecast"": 80, ""timeSavingsPerUserHours"": 7, ""toolSprawlReductionScore"": 4, ""costEfficiencyGainsAmount"": 500000, ""performanceImprovementPercentage"": 50}"
63,Pre-Sales AI Transformation,1,1,completed,2025-05-23 07:12:42.718-05,"{""roles"": {""selectedRoles"": [{""id"": 1, ""title"": ""Sales (e.g., Regional Sales Manager)"", ""department"": ""Sales""}, {""id"": 5, ""title"": ""Sales Engineer / Solutions Engineer (SE)"", ""department"": ""Sales""}, {""id"": 9, ""title"": ""Systems / IT / Infrastructure"", ""department"": ""IT""}], ""selectedDepartments"": [""Sales"", ""IT""]}, ""basics"": {""size"": ""Medium (51-500 employees)"", ""goals"": ""Automate pre-sales tasks, reduce SE workload, accelerate sales cycle, and ensure knowledge consistency across the team."", ""industry"": ""Software & Technology"", ""reportName"": ""Pre-Sales AI Transformation"", ""companyName"": ""Enterprise SaaS Inc."", ""companyStage"": ""Scaling"", ""stakeholders"": [""Executive Leadership"", ""IT Department"", ""Sales & Marketing""], ""industryMaturity"": ""Mature""}, ""scores"": {}, ""adoption"": {""roleAdoption"": {}, ""trainingNeeds"": ""SEs need training on prompt engineering, AEs need basic AI interaction training, IT needs deployment knowledge"", ""successMetrics"": ""50% increase in demo capacity, 2-week reduction in sales cycle, elimination of overtime, consistent customer feedback"", ""changeReadiness"": ""medium"", ""expectedChallenges"": ""Initial skepticism about job security, ensuring AI accuracy, integration with existing systems"", ""stakeholderAlignment"": ""high""}, ""techStack"": {""notes"": """", ""approvals"": """", ""dataQuality"": ""fair"", ""relevantTools"": ""Salesforce CRM, Slack, Zoom, AWS (for demo environments), internal product documentation system"", ""currentSystems"": """", ""dataAvailability"": [], ""dataAccessibility"": ""moderate"", ""dataQualityIssues"": """", ""existingAutomation"": """", ""systemsIntegration"": ""moderate""}, ""painPoints"": {""generalPainPoints"": ""SE team is overworked, handling ~5-6 deals in parallel each. Lead times for demos are too long (3 weeks). Knowledge silos exist across the team. Small/mid-market deals often go without proper pre-sales support."", ""roleSpecificPainPoints"": {""1"": {""impact"": 4, ""severity"": 4, ""frequency"": 5, ""description"": ""Sales reps spend too much time on manual quote creation and pricing lookups.""}, ""5"": {""impact"": 5, ""severity"": 5, ""frequency"": 5, ""description"": ""Repetitive tasks like demo environment setup and RFP responses, lack of time for complex deals, overtime work causing burnout.""}, ""9"": {""impact"": 4, ""severity"": 4, ""frequency"": 4, ""description"": ""Struggling to maintain and integrate multiple systems across departments.""}}}, ""workVolume"": {""roleWorkVolume"": {""1"": {""volume"": ""high"", ""complexity"": ""medium"", ""repetitiveness"": 4, ""dataDescription"": ""Customer data, pricing information, and sales forecasts""}, ""5"": {""volume"": ""high"", ""complexity"": ""high"", ""repetitiveness"": 5, ""dataDescription"": ""Technical specifications, demo environments, customer requirements""}, ""9"": {""volume"": ""medium"", ""complexity"": ""high"", ""repetitiveness"": 3, ""dataDescription"": ""System configurations, integration points, and infrastructure documentation""}}}, ""aiAdoptionScoreInputs"": {""affectedUserCount"": 38, ""adoptionRateForecast"": 80, ""timeSavingsPerUserHours"": 7, ""toolSprawlReductionScore"": 4, ""costEfficiencyGainsAmount"": 500000, ""performanceImprovementPercentage"": 50}}",2025-05-23 07:12:42.718-05,Software & Technology,Mature,Scaling,"{""Efficiency & Productivity"",""Cost Reduction"",""Revenue Growth"",""Operational Excellence""}","{""affectedUserCount"": 38, ""adoptionRateForecast"": 80, ""timeSavingsPerUserHours"": 7, ""toolSprawlReductionScore"": 4, ""costEfficiencyGainsAmount"": 500000, ""performanceImprovementPercentage"": 50}"
36,IT Tool Rationalization,1,1,draft,2025-05-10 04:32:37.966-05,"{""roles"": {""selectedRoles"": [{""id"": 9, ""title"": ""Systems / IT / Infrastructure"", ""department"": ""IT""}], ""selectedDepartments"": [""IT""]}, ""basics"": {""size"": ""Medium (51-500 employees)"", ""goals"": """", ""industry"": ""Retail & E-commerce"", ""reportName"": ""IT Tool Rationalization"", ""companyName"": ""Sammy's Slice of Heaven"", ""companyStage"": ""Scaling"", ""stakeholders"": [], ""industryMaturity"": ""Immature""}}",2025-05-10 05:48:09.365-05,Retail & E-commerce,Immature,Scaling,{},
37,IT Tool Rationalization,1,1,draft,2025-05-10 05:54:08.926-05,"{""basics"": {""size"": ""Medium (51-500 employees)"", ""goals"": """", ""industry"": ""Retail & E-commerce"", ""reportName"": ""IT Tool Rationalization"", ""companyName"": ""Sammy's Slice of Heaven"", ""companyStage"": ""Scaling"", ""stakeholders"": [], ""industryMaturity"": ""Mature""}}",2025-05-10 05:54:08.926-05,Retail & E-commerce,Mature,Scaling,{},
42,IT Tool Rationalization,1,1,completed,2025-05-15 11:41:32.211-05,"{""roles"": {""selectedRoles"": [{""id"": 1, ""title"": ""Sales (e.g., Regional Sales Manager)"", ""department"": ""Sales""}, {""id"": 5, ""title"": ""Sales Engineer / Solutions Engineer (SE)"", ""department"": ""Sales""}, {""id"": 7, ""title"": ""Operations (Ops) / Revenue Operations"", ""department"": ""Operations""}], ""selectedDepartments"": [""Sales"", ""Operations""]}, ""basics"": {""size"": ""Small (1-50 employees)"", ""goals"": ""test"", ""industry"": ""Software & Technology"", ""reportName"": ""IT Tool Rationalization"", ""companyName"": ""Sammy's Slice of Heaven"", ""companyStage"": ""Early Growth"", ""stakeholders"": [""Executive Leadership""], ""industryMaturity"": ""Immature""}, ""scores"": {}, ""adoption"": {""roleAdoption"": {}, ""trainingNeeds"": ""test"", ""successMetrics"": ""test"", ""changeReadiness"": ""medium"", ""expectedChallenges"": ""test"", ""stakeholderAlignment"": ""medium""}, ""techStack"": {""notes"": ""test"", ""approvals"": """", ""dataQuality"": ""fair"", ""relevantTools"": ""test"", ""currentSystems"": """", ""dataAvailability"": [], ""dataAccessibility"": ""moderate"", ""dataQualityIssues"": """", ""existingAutomation"": """", ""systemsIntegration"": ""moderate""}, ""painPoints"": {""generalPainPoints"": ""test"", ""roleSpecificPainPoints"": {""1"": {""impact"": 3, ""severity"": 1, ""frequency"": 2, ""description"": ""test""}, ""5"": {""impact"": 1, ""severity"": 1, ""frequency"": 2, ""description"": ""test""}, ""7"": {""impact"": 3, ""severity"": 1, ""frequency"": 2, ""description"": ""test""}}}, ""workVolume"": {""roleWorkVolume"": {""1"": {""volume"": ""low"", ""complexity"": ""medium"", ""repetitiveness"": 3, ""dataDescription"": ""test""}, ""5"": {""volume"": ""low"", ""complexity"": ""medium"", ""repetitiveness"": 3, ""dataDescription"": ""test""}, ""7"": {""volume"": ""high"", ""complexity"": ""high"", ""repetitiveness"": 1, ""dataDescription"": ""test""}}}, ""aiAdoptionScoreInputs"": {""affectedUserCount"": 120, ""adoptionRateForecast"": 80, ""timeSavingsPerUserHours"": 7, ""toolSprawlReductionScore"": 4, ""costEfficiencyGainsAmount"": 20, ""performanceImprovementPercentage"": 30}}",2025-05-15 11:41:32.211-05,Software & Technology,Immature,Early Growth,"{""Efficiency & Productivity"",""Cost Reduction""}","{""affectedUserCount"": 120, ""adoptionRateForecast"": 80, ""timeSavingsPerUserHours"": 7, ""toolSprawlReductionScore"": 4, ""costEfficiencyGainsAmount"": 20, ""performanceImprovementPercentage"": 30}"
