capability_id,tool_id
1,1
1,2
1,3
1,4
2,4
2,6
2,7
2,8
3,9
3,10
3,11
3,12
4,13
4,14
4,15
5,16
5,17
5,18
5,19
5,20
6,4
6,22
6,23
6,24
7,25
7,26
7,27
8,28
8,29
8,30
9,31
9,25
9,33
10,34
10,25
10,33
11,37
11,38
11,39
12,40
12,41
12,42
12,43
13,44
13,45
13,46
13,47
14,31
14,38
14,50
14,25
15,31
15,25
15,54
15,33
16,56
16,54
16,58
16,59
17,25
17,31
17,33
17,38
19,69
19,70
19,71
20,40
20,73
20,74
21,31
21,25
21,77
22,31
22,25
22,33
23,31
23,67
23,38
23,50
24,85
24,86
24,87
25,88
25,89
25,90
25,91
26,33
26,31
26,50
26,25
26,38
27,31
27,38
27,99
27,100
27,101
28,102
28,103
28,104
28,105
29,54
29,56
29,33
30,54
30,56
30,33
32,44
32,45
32,47
32,46
33,7
33,31
33,122
34,28
34,29
34,40
35,126
35,127
35,128
36,129
36,25
36,112
37,54
37,56
37,59
37,135
38,33
38,137
38,50
38,56
39,54
39,56
39,33
39,135
40,69
40,38
40,146
40,99
41,148
41,149
41,150
42,31
42,38
42,50
42,100
42,101
45,64
45,163
45,164
45,165
46,166
46,7
46,168
46,169
47,31
47,25
47,172
48,25
48,26
48,27
50,56
50,54
50,59
50,31
51,31
51,38
51,25
51,59
52,34
52,31
52,7
52,192
53,193
53,194
53,195
53,196
54,50
54,31
54,38
54,200
54,201
55,202
55,203
55,204
55,205
56,7
57,47
57,68
57,45
57,212
58,31
58,214
58,38
58,216
59,34
59,192
59,219
59,220
60,44
60,45
60,47
60,46
60,68
61,226
61,227
61,59
61,229
63,105
63,7
63,236
64,50
64,101
64,38
65,241
65,242
65,243
65,244
68,253
68,150
68,148
68,256
69,257
69,258
69,259
70,54
70,56
70,33
71,31
73,54
73,56
73,33
73,137
74,37
74,50
74,38
74,101
75,31
75,25
75,33
75,54
76,112
77,59
77,229
77,135
77,56
78,25
78,33
78,31
79,293
79,294
79,295
80,296
80,229
80,135
80,248
83,303
83,305
83,309
83,310
83,311
84,306
84,313
84,314
84,315
85,316
85,68
85,27
85,319
86,50
86,31
86,38
86,101
87,324
87,325
87,326
88,327
88,328
88,329
89,330
89,331
89,332
90,31
90,25
90,335
91,336
91,88
91,90
92,339
92,340
92,341
92,342
94,54
94,56
94,33
95,351
95,33
95,56
97,358
97,359
97,360
98,112
98,113
98,43
98,364
99,112
99,113
99,367
100,44
100,45
100,47
100,68
100,46
101,40
101,41
101,43
101,376
102,64
102,165
102,65
102,67
103,54
103,56
103,58
104,31
104,25
104,335
105,34
105,31
105,104
105,7
107,31
107,38
107,50
108,56
108,54
109,56
109,54
109,58
109,357
110,46
110,44
110,47
110,45
111,410
111,411
111,412
111,413
113,413
113,418
113,56
116,50
116,200
116,38
116,100
118,54
118,56
118,436
118,347
119,40
119,69
119,56
120,441
120,113
120,43
120,444
122,56
122,54
122,451
123,56
123,54
123,296
123,179
124,456
124,457
124,458
125,459
125,460
125,461
125,462
126,339
126,340
126,341
126,466
127,467
127,468
127,469
127,470
128,330
128,331
128,332
128,150
30,16
30,112
30,113
30,115
28,33
28,54
28,56
8,64
8,65
8,66
8,67
8,68
8,54
8,56
8,58
8,59
8,179
41,135
41,159
41,160
52,105
52,208
52,38
52,50
52,266
52,112
52,113
52,203
52,69
52,74
52,284
57,37
57,38
57,50
57,101
57,100
57,59
57,135
57,229
57,248
57,249
57,250
57,251
57,252
78,54
78,56
78,296
54,343
54,344
54,345
54,346
54,347
74,54
74,56
74,58
74,357
80,303
80,304
80,305
80,306
102,25
102,26
102,31
102,33
104,54
104,56
104,357
104,37
104,38
104,50
104,101
113,25
113,31
113,335
122,58
122,296
125,34
125,414
125,415
128,25
128,37
128,38
128,448
1,146
1,38
1,99
2,192
2,34
2,50
2,100
3,310
3,50
3,137
4,28
4,29
4,252
5,166
5,7
6,16
6,214
7,101
8,37
8,38
8,50
8,39
9,28
9,29
9,30
9,22
10,31
10,310
10,179
11,54
11,310
11,34
11,50
12,37
12,38
12,39
12,50
13,441
14,44
14,46
14,45
14,47
15,146
15,38
15,448
16,146
16,25
16,310
17,56
17,54
17,58
17,357
18,37
18,39
18,50
18,38
19,64
19,67
19,68
19,47
20,69
20,129
20,38
21,202
21,7
22,37
22,50
22,38
22,216
23,37
23,101
24,31
24,67
24,38
24,50
25,85
25,86
25,87
26,89
26,91
27,37
27,50
27,310
28,31
28,38
28,99
28,100
29,7
29,236
29,105
30,146
31,146
31,54
31,56
31,172
32,441
32,113
32,16
33,44
33,46
33,45
33,47
34,7
34,31
34,122
34,105
35,28
35,29
36,441
36,16
36,203
37,129
37,31
37,50
37,38
38,54
38,310
38,31
39,310
39,137
39,50
40,54
40,56
40,310
40,179
41,31
41,38
41,50
42,148
42,150
43,31
43,99
43,38
43,100
44,54
44,56
44,310
44,25
45,159
45,160
45,179
46,64
46,65
46,66
47,67
48,146
48,448
49,37
49,38
49,50
49,39
50,179
50,229
51,56
51,54
52,202
52,448
52,25
53,7
53,105
54,193
54,194
54,195
55,50
55,31
55,38
55,101
56,202
56,203
56,448
56,204
57,166
57,7
57,105
58,47
58,68
58,45
59,99
59,37
59,38
59,216
60,105
60,34
61,44
61,46
61,47
61,45
62,227
62,226
62,59
62,229
63,37
63,50
63,38
63,101
64,7
64,169
64,105
65,192
65,34
65,50
65,101
66,227
67,159
67,179
67,59
68,249
68,250
68,251
68,252
69,149
69,150
69,148
71,146
71,56
71,310
71,54
72,31
72,38
72,50
72,39
73,441
73,113
74,100
75,37
75,50
75,38
75,101
76,146
76,25
76,310
76,38
77,441
77,31
77,203
78,59
78,229
78,179
79,31
79,25
79,310
79,38
81,59
81,229
81,179
81,56
82,306
82,313
82,293
83,304
84,303
85,306
85,314
85,313
85,293
86,68
86,47
86,316
87,50
87,101
87,38
87,31
88,324
88,325
89,327
89,328
90,330
90,331
90,150
90,332
91,31
91,25
91,56
91,335
92,336
92,90
93,339
93,340
93,341
94,343
94,344
94,345
94,346
95,54
95,310
95,31
96,31
96,310
96,50
96,38
97,56
97,54
97,58
97,357
98,358
98,359
98,360
99,441
99,43
99,364
100,441
100,113
101,44
101,47
101,46
101,45
102,441
102,43
102,113
102,115
103,67
103,65
103,64
103,165
105,37
105,216
105,50
105,38
106,7
106,236
106,105
107,37
107,101
108,37
108,50
108,38
108,101
110,56
110,54
110,357
110,58
111,46
111,44
111,47
111,45
112,410
112,411
112,413
112,418
113,34
113,192
113,50
113,310
114,413
115,236
115,7
115,105
116,31
116,101
117,50
117,31
117,38
118,146
118,25
118,451
119,54
119,343
119,347
120,31
120,38
120,50
121,441
121,113
121,43
121,444
122,37
122,38
122,50
122,39
123,137
123,310
124,56
124,54
124,59
124,179
125,410
125,457
126,459
126,460
126,461
126,462
127,339
127,341
127,193
127,340
128,467
128,468
128,470
129,148
129,150
129,149
130,68
130,47
131,64
131,165
134,347
137,113
142,86
144,44
144,46
144,47
144,45
150,7
150,8
152,99
157,339
157,193
160,27
161,54
161,56
162,470
162,214
163,4
163,23
163,30
164,214
165,470
168,243
168,241
168,244
168,242
169,219
170,16
173,64
173,165
175,64
175,165
177,68
177,47
177,212
178,68
5,5
30,21
47,32
53,35
53,36
64,36
70,48
70,49
73,51
77,52
80,53
80,55
82,57
84,60
84,61
86,62
88,63
100,72
106,36
114,75
114,76
117,78
120,79
125,80
125,81
128,82
129,83
130,84
133,92
133,93
133,94
133,95
134,96
134,97
134,98
136,106
137,107
137,108
137,109
138,110
138,111
139,114
139,116
139,117
140,118
140,119
140,120
140,121
141,123
141,124
141,125
143,130
143,131
143,132
145,133
145,134
145,136
146,138
146,124
146,139
147,140
147,141
147,142
147,143
148,144
148,145
148,147
149,151
150,152
150,153
151,154
151,155
151,156
151,157
152,158
153,161
153,162
154,167
155,170
155,171
156,60
156,173
156,174
156,175
157,176
157,177
158,178
158,180
158,181
159,182
159,183
159,184
159,185
160,186
160,147
160,187
161,188
161,189
162,190
162,191
165,190
165,191
166,197
166,198
166,199
169,206
169,207
170,209
170,210
171,211
171,213
172,215
172,217
172,211
173,218
174,147
174,221
174,222
175,218
175,223
176,224
176,225
177,62
178,228
178,230
